Event_Date,observations
2012-01-31,849.0
2012-02-29,1219.0
2012-03-31,886.0
2012-04-30,640.0
2012-05-31,1049.0
2012-06-30,1390.0
2012-07-31,1402.0
2012-08-31,1067.0
2012-09-30,1703.0
2012-10-31,690.0
2012-11-30,2084.0
2012-12-31,1547.0
2013-01-31,1933.0
2013-02-28,2074.0
2013-03-31,1407.0
2013-04-30,1193.0
2013-05-31,790.0
2013-06-30,956.0
2013-07-31,5255.0
2013-08-31,3978.0
2013-09-30,1504.0
2013-10-31,1504.0
2013-11-30,1832.0
2013-12-31,1567.0
2014-01-31,2063.0
2014-02-28,1363.0
2014-03-31,1890.0
2014-04-30,1403.0
2014-05-31,1293.0
2014-06-30,1844.0
2014-07-31,1602.0
2014-08-31,1949.0
2014-09-30,1588.0
2014-10-31,1355.0
2014-11-30,1638.0
2014-12-31,1183.0
2015-01-31,1837.0
2015-02-28,2331.0
2015-03-31,1753.0
2015-04-30,1180.0
2015-05-31,1320.0
2015-06-30,1560.0
2015-07-31,1675.0
2015-08-31,1490.0
2015-09-30,1321.0
2015-10-31,1024.0
2015-11-30,1176.0
2015-12-31,719.0
2016-01-31,1396.0
2016-02-29,716.0
2016-03-31,697.0
2016-04-30,778.0
2016-05-31,671.0
2016-06-30,325.0
2016-07-31,231.0
2016-08-31,282.0
2016-09-30,255.0
2016-10-31,416.0
2016-11-30,334.0
2016-12-31,388.0
2017-01-31,343.0
2017-02-28,313.0
2017-03-31,487.0
2017-04-30,703.0
2017-05-31,571.0
2017-06-30,490.0
2017-07-31,901.0
2017-08-31,406.0
2017-09-30,431.0
2017-10-31,548.0
2017-11-30,905.0
2017-12-31,930.0
2018-01-31,616.0
2018-02-28,614.0
2018-03-31,596.0
2018-04-30,361.0
2018-05-31,343.0
2018-06-30,218.0
2018-07-31,261.0
2018-08-31,383.0
2018-09-30,262.0
2018-10-31,338.0
2018-11-30,336.0
2018-12-31,309.0
2019-01-31,545.0
2019-02-28,452.0
2019-03-31,272.0
2019-04-30,342.0
2019-05-31,244.0
2019-06-30,306.0
2019-07-31,239.0
2019-08-31,171.0
2019-09-30,513.0
2019-10-31,343.0
2019-11-30,294.0
2019-12-31,197.0
2020-01-31,323.0
2020-02-29,248.0
2020-03-31,151.0
2020-04-30,77.0
2020-05-31,362.58025017826907
2020-06-30,289.19714769505026
2020-07-31,252.9506603377292
2020-08-31,168.77205245966096
2020-09-30,203.5441655531206
2020-10-31,172.69505493539504
2020-11-30,176.2708616756667
2020-12-31,161.85664760209843
2021-01-31,128.99996140525556
2021-02-28,86.58371423850758
2021-03-31,78.13875439309908
2021-04-30,40.32668198177015
