Event_Date,observations
2012-01-31,46.0
2012-02-29,40.0
2012-03-31,55.0
2012-04-30,57.0
2012-05-31,60.0
2012-06-30,45.0
2012-07-31,108.0
2012-08-31,163.0
2012-09-30,69.0
2012-10-31,75.0
2012-11-30,57.0
2012-12-31,69.0
2013-01-31,37.0
2013-02-28,68.0
2013-03-31,70.0
2013-04-30,114.0
2013-05-31,57.0
2013-06-30,121.0
2013-07-31,103.0
2013-08-31,98.0
2013-09-30,62.0
2013-10-31,207.0
2013-11-30,209.0
2013-12-31,78.0
2014-01-31,86.0
2014-02-28,100.0
2014-03-31,152.0
2014-04-30,79.0
2014-05-31,95.0
2014-06-30,54.0
2014-07-31,77.0
2014-08-31,123.0
2014-09-30,218.0
2014-10-31,156.0
2014-11-30,67.0
2014-12-31,96.0
2015-01-31,149.0
2015-02-28,116.0
2015-03-31,86.0
2015-04-30,91.0
2015-05-31,114.0
2015-06-30,94.0
2015-07-31,98.0
2015-08-31,65.0
2015-09-30,102.0
2015-10-31,99.0
2015-11-30,70.0
2015-12-31,68.0
2016-01-31,66.0
2016-02-29,98.0
2016-03-31,88.0
2016-04-30,62.0
2016-05-31,103.0
2016-06-30,63.0
2016-07-31,86.0
2016-08-31,45.0
2016-09-30,70.0
2016-10-31,53.0
2016-11-30,43.0
2016-12-31,47.0
2017-01-31,43.0
2017-02-28,42.0
2017-03-31,29.0
2017-04-30,35.0
2017-05-31,23.0
2017-06-30,42.0
2017-07-31,20.0
2017-08-31,59.0
2017-09-30,26.0
2017-10-31,42.0
2017-11-30,42.0
2017-12-31,38.0
2018-01-31,57.0
2018-02-28,42.0
2018-03-31,89.0
2018-04-30,35.0
2018-05-31,104.0
2018-06-30,49.0
2018-07-31,29.0
2018-08-31,27.0
2018-09-30,41.0
2018-10-31,72.0
2018-11-30,46.0
2018-12-31,39.0
2019-01-31,50.0
2019-02-28,42.0
2019-03-31,116.0
2019-04-30,76.0
2019-05-31,106.0
2019-06-30,77.0
2019-07-31,105.0
2019-08-31,137.0
2019-09-30,144.0
2019-10-31,115.0
2019-11-30,38.0
2019-12-31,28.0
2020-01-31,75.0
2020-02-29,49.0
2020-03-31,74.0
2020-04-30,100.0
2020-05-31,63.14500359894263
2020-06-30,54.045946911721046
2020-07-31,42.38611676892677
2020-08-31,36.29865180176254
2020-09-30,49.38427060846416
2020-10-31,50.72151944194159
2020-11-30,46.505348703874404
2020-12-31,42.063479729644214
2021-01-31,45.85317949887019
2021-02-28,47.92141784538767
2021-03-31,47.04069460937629
2021-04-30,44.761184954955205
