Event_Date,observations
2012-01-31,305.0
2012-02-29,418.0
2012-03-31,608.0
2012-04-30,711.0
2012-05-31,605.0
2012-06-30,1071.0
2012-07-31,563.0
2012-08-31,459.0
2012-09-30,497.0
2012-10-31,744.0
2012-11-30,605.0
2012-12-31,418.0
2013-01-31,509.0
2013-02-28,524.0
2013-03-31,469.0
2013-04-30,547.0
2013-05-31,563.0
2013-06-30,1012.0
2013-07-31,885.0
2013-08-31,921.0
2013-09-30,702.0
2013-10-31,691.0
2013-11-30,604.0
2013-12-31,429.0
2014-01-31,365.0
2014-02-28,495.0
2014-03-31,408.0
2014-04-30,606.0
2014-05-31,528.0
2014-06-30,578.0
2014-07-31,1320.0
2014-08-31,580.0
2014-09-30,543.0
2014-10-31,798.0
2014-11-30,477.0
2014-12-31,358.0
2015-01-31,436.0
2015-02-28,393.0
2015-03-31,726.0
2015-04-30,523.0
2015-05-31,623.0
2015-06-30,326.0
2015-07-31,573.0
2015-08-31,644.0
2015-09-30,563.0
2015-10-31,520.0
2015-11-30,530.0
2015-12-31,782.0
2016-01-31,431.0
2016-02-29,586.0
2016-03-31,1808.0
2016-04-30,1225.0
2016-05-31,1386.0
2016-06-30,754.0
2016-07-31,537.0
2016-08-31,1169.0
2016-09-30,972.0
2016-10-31,650.0
2016-11-30,715.0
2016-12-31,710.0
2017-01-31,302.0
2017-02-28,267.0
2017-03-31,305.0
2017-04-30,302.0
2017-05-31,580.0
2017-06-30,350.0
2017-07-31,265.0
2017-08-31,297.0
2017-09-30,256.0
2017-10-31,229.0
2017-11-30,188.0
2017-12-31,248.0
2018-01-31,469.0
2018-02-28,730.0
2018-03-31,631.0
2018-04-30,1020.0
2018-05-31,502.0
2018-06-30,468.0
2018-07-31,567.0
2018-08-31,730.0
2018-09-30,803.0
2018-10-31,1063.0
2018-11-30,559.0
2018-12-31,678.0
2019-01-31,839.0
2019-02-28,610.0
2019-03-31,715.0
2019-04-30,645.0
2019-05-31,648.0
2019-06-30,675.0
2019-07-31,1025.0
2019-08-31,1052.0
2019-09-30,874.0
2019-10-31,846.0
2019-11-30,1218.0
2019-12-31,810.0
2020-01-31,486.0
2020-02-29,608.0
2020-03-31,684.0
2020-04-30,939.0
2020-05-31,639.3129960524491
2020-06-30,645.1842136965569
2020-07-31,635.5071494826333
2020-08-31,648.956276192768
2020-09-30,703.2184081063024
2020-10-31,755.2874943893307
2020-11-30,743.0381690771663
2020-12-31,813.4412649019005
2021-01-31,705.8055014482677
2021-02-28,703.6944153445586
2021-03-31,723.9710230527055
2021-04-30,757.8887229109735
2021-04-30,723.7905754652347
2021-05-31,663.2752395429332
2021-06-30,610.9133566024235
2021-07-31,675.2702966253784
2021-08-31,869.9581844857115
2021-09-30,948.4148672110914
2021-10-31,883.59692221488
2021-11-30,982.616694730861
2021-12-31,821.309019531286
2022-01-31,875.4180307448484
2022-02-28,923.1686600154213
2022-03-31,955.8834674286371
